Comedy,Bill Hicks,"The world is like a ride at an amusement park, and when you choose to go on it, you think it's real because that's how powerful our minds are. And the ride goes up and down and round and round; it has thrills and chills and it's very brightly colored and it's very loud and it's fun... for a while. Some people have been on the ride for a long time, and they begin to question: ""Is this real, or is this just a ride?"" And other people have remembered, and they come back to us, and they say, ""Hey - don't worry, don't be afraid -EVER- because, this is just a ride."" And we... KILL those people HAHAHA! ""Shut him up! We have a lot invested in this ride - SHUT HIM UP! Look at my furrows of worry! Look at my big bank account, and my family! This just HAS to be real!""... But it's just a ride. And we always kill those good guys who try and tell us that, you ever notice that? And let the demons run amok? Jesus - murdered; Martin Luther King - murdered; Malcolm X - murdered; Gandhi - murdered; John Lennon - murdered; Reagan... wounded HAHA! But it doesn't matter because: It's just a ride. And we can change it anytime we want. It's only a choice. No effort, no work, no job, no savings of money. A choice, right now, between fear and love. The eyes of fear want you to put bigger locks on your doors, buy guns, close yourself off. The eyes of love, instead, see all of us as one. Here's what we can do to change the world, right now, to a better ride: Take all that money that we spend on weapons and defense each year and instead spend it feeding and clothing and educating the poor of the world, which it would many times over, NOT ONE HUMAN BEING EXCLUDED, and we could explore space, together, both inner and outer, forever, in peace."
Comedy,Mark Twain,The secret source of humor itself is not joy but sorrow. There is no humor in heaven
Comedy,Russell Peters,Comedy is like boxing. All those little Open Mics are just little fighters that you're fighting along the way to get to the title
Comedy,Unknown,"That which is most personal is most general. The more authentic you become, the more genuine in your expression, particularly regarding personal experiences and even self-doubts, the more people can relate to your expression and the safer it makes them feel to express themselves."
Comedy,Chris Rock,"It's extraordinary to me when you get a laugh. That you can go in front of a bunch of people you never met before, you can say some stuff and they all laugh in unison - that's amazing. It's a miracle"
Comedy,Jim Carrey,"If I had never ventured beyond being a stand-up comic, then I would be sitting in my house today working on my Leonardo DiCaprio impression"
Comedy,Bill Hicks,"Occasionally, people get upset because they don't think it's funny. Somebody asked me ""Bill why can't you do things that appeal to everybody?"" ¡¦ well that's impossible! What a burden! I will please all people! No one's done that yet. What am I supposed to do, change my beliefs and attitude for them? To be what to them?"
Comedy,Bill Hicks,"I honestly believe we are all the same. It's condescending to say ""I will give them what THEY want"". ""You are all a bunch of idiots so I will do things I don't believe in to amuse you"""
Comedy,Sidonie Gabrielle,"""Sit down and put down everything that comes into your head and then you're a writer. But an author is one who can judge his own stuff's worth, without pity, and destroy most of it."""
Comedy,Mahatma Gandhi,"If I had no sense of humor, I would long ago have committed suicide"
Compassion,Jim Rohn,"Whoever renders service to many puts himself in line for greatness - great wealth, great return, great satisfaction, great reputation, and great joy"
Compassion,Kahlil Gibran,"You cannot judge any man beyond your knowledge of him, and how small is your knowledge"
Compassion,Paulo Coelho,"""We can never judge the lives of others, because each person knows only their own pain. It's one thing to feel that you are on the right path, but it's another to think that yours is the only path"""
Compassion,Samuel Johnson,"God Himself, sir, does not propose to judge a man until his life is over.  Why should you and I?"
Compassion,F. Scott Fitzgerald,"""Whenever you feel like criticizing any one...just remember that all the people in this world haven't had the advantages that you've had."""
Compassion,Plato,"""Be kind, for everyone you meet is fighting a hard battle."""
Compassion,William Penn,"""If there is any kindness I can show, or any good thing I can do to any fellow being, let me do it now, and not deter or neglect it, as I shall not pass this way again."""
Compassion,Lao Tzu,"If you would take, you must first give, this is the beginning of intelligence"
Compassion,Mother Teresa,"""Kind words can be short and easy to speak but their echoes are truly endless."""
Compassion,Buddha,Whatever words we utter should be chosen with care for people will hear them and be influenced by them for good or ill
Compassion,Lao Tzu,"The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own."
Compassion,Dale Carnegie,The world is full of people who are grabbing and self-seeking. So the rare individual who unselfishly tries to serve others has an enormous advantage. He has little competition
Compassion,Stephen Covey,"Look at the weaknesses of others with compassion, not accusation. It's not what they're not doing or should be doing that's the issue. The issue is your own chosen response to the situation"
Compassion,Paulo Coelho,No reason is needed for loving.
Compassion,Mahatma Gandhi,The best way to find yourself is to lose yourself in the service of others
Compassion,William Arthur Ward,"""A warm smile is the universal language of kindness."""
Compassion,Malcolm X,"""Don't be in a hurry to condemn because he doesn't do as you think or think as you think or as fast. There was a time when you didn't know what you know today"""
Compassion,Confucius,Don't complain about the snow on your neighbor's roof when your own doorstep is unclean
Compassion,Dale Carnegie,"Any fool can criticize, condemn, and complain - and most fools do"
Compassion,"Martin Luther King, Jr.",I believe that unarmed truth and unconditional love will have the final word in reality
